[1] "Error log: 2023-10-27 09:24:37.597225"
[1] "Multiple rows throwing errors"
[1] "Please ensure that 'date' values are of the form 'dd/mm/yyyy'"
[1] "1176 / 1176 rows with errors in 'date' variable"

   row.number         date
            1   2023-10-04
            2   2023-10-04
            3   2023-10-04
            4   2023-10-04
            5   2023-10-04
            6   2023-10-04
            7   2023-10-04
            8   2023-10-04
            9   2023-10-04
           10   2023-10-04
           11   2023-10-04
           12   2023-10-04
           13   2023-10-04
           14   2023-10-04
           15   2023-10-04
           16   2023-10-04
           17   2023-10-04
           18   2023-10-04
           19   2023-10-04
           20   2023-10-04
           21   2023-10-04
           22   2023-10-04
           23   2023-10-04
           24   2023-10-04
           25   2023-10-04
           26   2023-10-04
           27   2023-10-04
           28   2023-10-04
           29   2023-10-04
           30   2023-10-04
           31   2023-10-04
           32   2023-10-04
           33   2023-10-04
           34   2023-10-04
           35   2023-10-04
           36   2023-10-04
           37   2023-10-04
           38   2023-10-04
           39   2023-10-04
           40   2023-10-04
           41   2023-10-04
           42   2023-10-04
           43   2023-10-04
           44   2023-10-04
           45   2023-10-04
           46   2023-10-04
           47   2023-10-04
           48   2023-10-04
           49   2023-10-04
           50   2023-10-04
           51   2023-10-04
           52   2023-10-04
           53   2023-10-04
           54   2023-10-04
           55   2023-10-04
           56   2023-10-04
           57   2023-10-04
           58   2023-10-04
           59   2023-10-04
           60   2023-10-04
           61   2023-10-04
           62   2023-10-04
           63   2023-10-04
           64   2023-10-04
           65   2023-10-04
           66   2023-10-04
           67   2023-10-04
           68   2023-10-04
           69   2023-10-04
           70   2023-10-04
           71   2023-10-04
           72   2023-10-04
           73   2023-10-04
           74   2023-10-04
           75   2023-10-04
           76   2023-10-04
           77   2023-10-04
           78   2023-10-04
           79   2023-10-04
           80   2023-10-04
           81   2023-10-04
           82   2023-10-04
           83   2023-10-04
           84   2023-10-04
           85   2023-10-04
           86   2023-10-04
           87   2023-10-04
           88   2023-10-04
           89   2023-10-04
           90   2023-10-04
           91   2023-10-04
           92   2023-10-04
           93   2023-10-04
           94   2023-10-04
           95   2023-10-04
           96   2023-10-04
           97   2023-10-04
           98   2023-10-04
           99   2023-10-04
          100   2023-10-04
          101   2023-10-04
          102   2023-10-04
          103   2023-10-04
          104   2023-10-04
          105   2023-10-04
          106   2023-10-04
          107   2023-10-04
          108   2023-10-04
          109   2023-10-04
          110   2023-10-04
          111   2023-10-04
          112   2023-10-04
          113   2023-10-04
          114   2023-10-04
          115   2023-10-04
          116   2023-10-04
          117   2023-10-04
          118   2023-10-04
          119   2023-10-04
          120   2023-10-04
          121   2023-10-04
          122   2023-10-04
          123   2023-10-04
          124   2023-10-04
          125   2023-10-04
          126   2023-10-04
          127   2023-10-04
          128   2023-10-04
          129   2023-10-04
          130   2023-10-04
          131   2023-10-04
          132   2023-10-04
          133   2023-10-04
          134   2023-10-04
          135   2023-10-04
          136   2023-10-04
          137   2023-10-04
          138   2023-10-04
          139   2023-10-04
          140   2023-10-04
          141   2023-10-04
          142   2023-10-04
          143   2023-10-04
          144   2023-10-04
          145   2023-10-04
          146   2023-10-04
          147   2023-10-04
          148   2023-10-04
          149   2023-10-04
          150   2023-10-04
          151   2023-10-04
          152   2023-10-04
          153   2023-10-04
          154   2023-10-04
          155   2023-10-04
          156   2023-10-04
          157   2023-10-04
          158   2023-10-04
          159   2023-10-04
          160   2023-10-04
          161   2023-10-04
          162   2023-10-04
          163   2023-10-04
          164   2023-10-04
          165   2023-10-04
          166   2023-10-04
          167   2023-10-04
          168   2023-10-04
          169   2023-10-04
          170   2023-10-04
          171   2023-10-04
          172   2023-10-04
          173   2023-10-04
          174   2023-10-04
          175   2023-10-04
          176   2023-10-04
          177   2023-10-04
          178   2023-10-04
          179   2023-10-04
          180   2023-10-04
          181   2023-10-04
          182   2023-10-04
          183   2023-10-04
          184   2023-10-04
          185   2023-10-04
